# r/Å                 g(r)         N(r)
6.495000         0.964000    76.340853
6.505000         0.968165    76.683374
6.515000         0.967955    77.026874
6.525000         0.968250    77.371535
6.535000         0.959188    77.714017
6.545000         0.951541    78.054809
6.555000         0.945083    78.394323
6.565000         0.955394    78.738590
6.575000         0.965438    79.087537
6.585000         0.957871    79.434802
6.595000         0.952968    79.781340
6.605000         0.957989    80.130761
6.615000         0.957829    80.481182
6.625000         0.946539    80.828521
6.635000         0.957430    81.180918
6.645000         0.962803    81.536361
6.655000         0.959627    81.891699
6.665000         0.959636    82.248109
6.675000         0.965376    82.607727
6.685000         0.962404    82.967313
6.695000         0.967043    83.329715
6.705000         0.973172    83.695503
6.715000         0.969447    84.060979
6.725000         0.971351    84.428265
6.735000         0.976951    84.798767
6.745000         0.971987    85.168482
6.755000         0.974108    85.540104
6.765000         0.980299    85.915195
6.775000         0.982615    86.292285
6.785000         0.971488    86.666207
6.795000         0.980266    87.044619
6.805000         0.979584    87.423883
6.815000         0.989611    87.808155
6.825000         0.983277    88.191090
6.835000         0.989611    88.577621
6.845000         0.989591    88.965276
6.855000         0.995689    89.356460
6.865000         1.008258    89.753739
6.875000         1.005849    90.151225
6.885000         1.005995    90.549925
6.895000         1.010187    90.951451
6.905000         1.002838    91.351212
6.915000         1.012166    91.755862
6.925000         1.014844    92.162757
6.935000         1.007570    92.567902
6.945000         1.009453    92.974976
6.955000         1.015713    93.385755
6.965000         1.025637    93.801741
6.975000         1.017728    94.215706
6.985000         1.011479    94.628309
6.995000         1.013954    95.043107
7.005000         1.013325    95.458834
7.015000         1.017797    95.877588
7.025000         1.028691    96.302032
7.035000         1.034390    96.730044
7.045000         1.020672    97.153581
7.055000         1.022314    97.579004
7.065000         1.016996    98.003415
7.075000         1.009295    98.425805
7.085000         1.002625    98.846591
7.095000         1.005531    99.269788
7.105000         1.011326    99.696626
7.115000         1.010088   100.124141
7.125000         1.017094   100.555833
7.135000         1.024875   100.992049
7.145000         1.021570   101.428079
7.155000         1.022231   101.865612
7.165000         1.028665   102.307131
7.175000         1.017250   102.744970
7.185000         1.018197   103.184438
7.195000         1.020486   103.626122
7.205000         1.017956   104.067937
7.215000         1.020003   104.511869
7.225000         1.017671   104.956015
7.235000         1.017304   105.401231
7.245000         1.018427   105.848172
7.255000         1.023314   106.298497
7.265000         1.036104   106.755709
7.275000         1.028800   107.210948
7.285000         1.021845   107.664354
7.295000         1.027639   108.121583
7.305000         1.032675   108.582314
7.315000         1.035336   109.045497
7.325000         1.025993   109.505756
7.335000         1.033302   109.970561
7.345000         1.039675   110.439508
7.355000         1.037483   110.908742
7.365000         1.033801   111.377583
7.375000         1.029214   111.845612
7.385000         1.026804   112.313812
7.395000         1.023299   112.781678
7.405000         1.022498   113.250443
7.415000         1.022274   113.720372
7.425000         1.033538   114.196762
7.435000         1.035334   114.675265
7.445000         1.036253   115.155483
7.455000         1.027964   115.633140
7.465000         1.028440   116.112301
7.475000         1.027103   116.592122
7.485000         1.025913   117.072670
7.495000         1.020325   117.551879
7.505000         1.023998   118.034097
7.515000         1.019670   118.515557
7.525000         1.014399   118.995805
7.535000         1.008796   119.474669
7.545000         1.007107   119.954002
7.555000         1.011216   120.436567
7.565000         1.014650   120.922053
7.575000         1.005882   121.404618
7.585000         0.992912   121.882218
